State,Year,Minimum_Wage
PA,2013,7.25
PA,2014,7.25
PA,2015,7.25
PA,2016,7.25
PA,2017,7.25
PA,2018,7.25
PA,2019,7.25
PA,2020,7.25
PA,2021,7.25
PA,2022,7.25
PA,2023,7.25
PA,2024,7.25
NJ,2013,7.25
NJ,2014,8.25
NJ,2015,8.38
NJ,2016,8.38
NJ,2017,8.44
NJ,2018,8.60
NJ,2019,11.00
NJ,2020,11.00
NJ,2021,12.00
NJ,2022,13.00
NJ,2023,14.13
NJ,2024,15.13
NY,2013,7.25
NY,2014,8.00
NY,2015,8.75
NY,2016,9.00
NY,2017,9.70
NY,2018,10.40
NY,2019,11.80
NY,2020,11.80
NY,2021,12.50
NY,2022,13.20
NY,2023,14.20
NY,2024,15.00
DE,2013,7.25
DE,2014,7.75
DE,2015,8.25
DE,2016,8.25
DE,2017,8.25
DE,2018,8.25
DE,2019,9.25
DE,2020,9.25
DE,2021,9.25
DE,2022,10.50
DE,2023,11.75
DE,2024,13.25
WV,2013,7.25
WV,2014,7.25
WV,2015,8.00
WV,2016,8.75
WV,2017,8.75
WV,2018,8.75
WV,2019,8.75
WV,2020,8.75
WV,2021,8.75
WV,2022,8.75
WV,2023,8.75
WV,2024,8.75
